Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
85;100459;"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS";conference and proceedings;"-";2,649;-;100;95;244;6363;2309;235;8,01;66,98;United States;Northern America;"Association for Computing Machinery (ACM)";"1973, 1982, 1991-1992, 1994, 1998, 2000, 2002, 2006-2022";"Hardware and Architecture; Information Systems; Software";"Computer Science"
86;19080;"Computers in Industry";journal;"01663615";2,646;Q1;117;138;379;8077;5360;376;12,04;58,53;Netherlands;Western Europe;"Elsevier";"1979-2023";"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
87;19900192513;"Swarm and Evolutionary Computation";journal;"22106502";2,646;Q1;88;169;450;9776;5251;444;10,86;57,85;Netherlands;Western Europe;"Elsevier BV";"2011-2022";"Computer Science (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1)";"Computer Science; Mathematics"
88;5900153311;"IEEE Journal on Selected Topics in Signal Processing";journal;"19324553";2,631;Q1;132;126;326;6087;3002;312;8,16;48,31;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2007-2022";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
89;110527;"Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms";conference and proceedings;"-";2,626;-;104;149;549;5900;1725;544;2,93;39,60;United States;Northern America;"Association for Computing Machinery (ACM)";"1990-1992, 1994-2022";"Mathematics (miscellaneous); Software";"Computer Science; Mathematics"
90;19700190323;"ACM Transactions on Intelligent Systems and Technology";journal;"21576912, 21576904";2,603;Q1;71;120;206;7636;2178;202;5,44;63,63;United States;Northern America;"Association for Computing Machinery (ACM)";"2010-2022";"Artificial Intelligence (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
91;25038;"IEEE Transactions on Mobile Computing";journal;"15361233";2,541;Q1;151;647;710;14071;4959;710;6,55;21,75;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2022";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
92;21100338322;"IEEE Geoscience and Remote Sensing Magazine";trade journal;"21686831";2,539;Q1;44;61;133;7085;1740;133;10,78;116,15;United States;Northern America;"IEEE Geosciene and Remote Sensing Society";"2013-2022";"Computer Science (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy"
93;21101024053;"Big Data Mining and Analytics";journal;"20960654";2,533;Q1;30;25;73;1197;1035;73;17,65;47,88;China;Asiatic Region;"Institute of Electrical and Electronics Engineers Inc.";"2018-2022";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
94;17391;"IEEE Transactions on Signal Processing";journal;"19410476, 1053587X";2,503;Q1;289;448;1344;20904;8394;1341;5,80;46,66;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2022";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
95;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";2,490;Q1;101;270;439;32923;6788;438;15,01;121,94;Netherlands;Western Europe;"Springer Netherlands";"1986-2022";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
96;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";2,481;Q1;119;76;136;6568;1465;124;12,22;86,42;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2022";"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
97;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";2,479;Q1;20;85;52;6233;980;52;18,85;73,33;Netherlands;Western Europe;"Elsevier BV";"2021-2022";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
98;21080;"Mechanical Systems and Signal Processing";journal;"08883270, 10961216";2,475;Q1;195;1141;2319;51525;23139;2304;10,00;45,16;United States;Northern America;"Academic Press Inc.";"1987-2023";"Aerospace Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Mechanical Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
99;28540;"SIAM Journal on Computing";journal;"00975397, 10957111";2,471;Q1;122;65;178;2796;540;176;2,59;43,02;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1984-2022";"Computer Science (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1)";"Computer Science; Mathematics"
100;19419;"Computers in Human Behavior";journal;"07475632";2,464;Q1;226;371;1198;29423;14782;1171;12,27;79,31;United Kingdom;Western Europe;"Elsevier Ltd.";"1985-2023";"Arts and Humanities (miscellaneous) (Q1); Human-Computer Interaction (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Psychology"
101;4000148905;"IEEE Computational Intelligence Magazine";journal;"1556603X";2,437;Q1;66;39;132;1319;771;79;4,79;33,82;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2022";"Artificial Intelligence (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
102;21101055750;"Radiology: Artificial Intelligence";journal;"26386100";2,432;Q1;26;70;179;1917;1434;137;7,41;27,39;United States;Northern America;"Radiological Society of North America Inc.";"2019-2022";"Artificial Intelligence (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
103;21100451321;"Scientific data";journal;"20524463";2,410;Q1;101;768;1085;36290;9866;154;9,55;47,25;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2022";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
104;21100933954;"Big Data and Society";journal;"20539517";2,389;Q1;57;90;229;5345;1818;173;7,65;59,39;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2022";"Communication (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
105;27277;"Journal of Network and Computer Applications";journal;"10958592, 10848045";2,384;Q1;129;133;577;10923;6192;571;11,21;82,13;United States;Northern America;"Academic Press Inc.";"1996-2022";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1)";"Computer Science"
106;21100358105;"IEEE Transactions on Control of Network Systems";journal;"23255870";2,376;Q1;58;286;467;5952;2174;465;4,23;20,81;United States;Northern America;"";"2014-2022";"Computer Networks and Communications (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
107;22489;"European Journal of Operational Research";journal;"03772217";2,371;Q1;288;667;1951;33796;14343;1941;7,16;50,67;Netherlands;Western Europe;"Elsevier";"1977-2023";"Computer Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
108;21101076096;"Nature Computational Science";journal;"26628457";2,360;Q1;16;189;150;3966;743;70;4,95;20,98;United States;Northern America;"Springer Nature";"2021-2022";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1)";"Computer Science"
109;25534;"IEEE Transactions on Image Processing";journal;"10577149";2,359;Q1;311;557;1861;32539;21579;1861;10,50;58,42;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-2022";"Computer Graphics and Computer-Aided Design (Q1); Software (Q1)";"Computer Science"
110;17362;"IEEE Transactions on Knowledge and Data Engineering";journal;"10414347";2,358;Q1;190;827;648;22496;5269;646;7,05;27,20;United States;Northern America;"IEEE Computer Society";"1989-2022";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
111;21100228068;"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery";journal;"19424795, 19424787";2,330;Q1;62;45;132;5005;1698;130;10,30;111,22;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2022";"Computer Science (miscellaneous) (Q1)";"Computer Science"
112;21100934923;"IEEE Communications Standards Magazine";journal;"24712825";2,306;Q1;28;66;169;675;765;128;4,99;10,23;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2022";"Computer Networks and Communications (Q1); Law (Q1); Management of Technology and Innovation (Q1); Safety, Risk, Reliability and Quality (Q1)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
113;21101072502;"NAR Genomics and Bioinformatics";journal;"26319268";2,304;Q1;19;68;245;3619;1078;243;4,41;53,22;United Kingdom;Western Europe;"Oxford University Press";"2019-2022";"Applied Mathematics (Q1); Computer Science Applications (Q1); Genetics (Q1); Molecular Biology (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
114;15134;"Information Sciences";journal;"00200255";2,285;Q1;210;1324;3053;60067;28008;3041;9,01;45,37;United States;Northern America;"Elsevier Inc.";"1968-2022";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
115;26422;"SIAM Journal on Optimization";journal;"10526234, 10957189";2,282;Q1;137;111;369;4856;1207;369;3,00;43,75;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1991, 1996-2022";"Applied Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
116;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";2,281;Q1;239;350;726;20483;5639;726;7,19;58,52;United States;Northern America;"Microtome Publishing";"2001-2022";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)";"Computer Science; Engineering; Mathematics"
117;28512;"Mathematical Programming";journal;"14364646, 00255610";2,281;Q1;135;256;328;11315;1176;322;3,00;44,20;Germany;Western Europe;"Springer-Verlag GmbH and Co. KG";"1971-2022";"Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Mathematics"
118;24804;"Neural Networks";journal;"08936080, 18792782";2,221;Q1;164;377;954;20055;9214;949;8,67;53,20;United Kingdom;Western Europe;"Elsevier Ltd.";"1988-2022";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
119;18158;"Computer Methods in Applied Mechanics and Engineering";journal;"00457825";2,218;Q1;217;717;1866;42648;14060;1864;7,62;59,48;Netherlands;Western Europe;"Elsevier";"1972-2022";"Computational Mechanics (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Physics and Astronomy"
120;17956;"Briefings in Bioinformatics";journal;"14774054, 14675463";2,163;Q1;132;717;1069;40956;9732;1065;8,91;57,12;United Kingdom;Western Europe;"Oxford University Press";"2000-2022";"Information Systems (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
121;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";2,160;Q1;95;255;449;13897;4487;442;11,48;54,50;Netherlands;Western Europe;"Springer Netherlands";"1990-2022";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
122;4700152632;"International Journal of Computer-Supported Collaborative Learning";journal;"15561607, 15561615";2,158;Q1;62;22;64;1384;383;52;5,35;62,91;United States;Northern America;"Springer Publishing Company";"2006-2022";"Education (Q1); Human-Computer Interaction (Q1)";"Computer Science; Social Sciences"
123;21101065916;"Cell Reports Methods";journal;"26672375";2,145;Q1;8;150;78;7626;304;72;3,90;50,84;United States;Northern America;"Cell Press";"2021-2022";"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Genetics (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
124;21101019738;"Human Behavior and Emerging Technologies";journal;"25781863";2,126;Q1;26;63;182;4745;2055;176;12,09;75,32;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2022";"Human-Computer Interaction (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Psychology; Social Sciences"
